STT;Ma nganh;SBD;NV;Xep hang;Khoi xet tuyen;Diem uu tien;Diem uu tien quy doi;Diem KK;Tong diem
413;D110106;HHA004157;3;135;A;0;0;0;22,5
414;D110106;HHA008950;4;135;A;0,5;0,5;0;22,5
415;D110106;KQH000316;1;135;A;0,5;0,5;0;22,5
416;D110106;LNH005079;4;135;A1;0,5;0,5;0;22,5
417;D110106;LNH008676;2;135;A;0,5;0,5;0;22,5
418;D110106;SPH005354;2;135;A1;0;0;0;22,5
419;D110106;SPH011960;4;135;B;1;1;0;22,5
420;D110106;SPH019273;2;135;A1;0;0;0;22,5
421;D110106;THP002683;4;135;A;0,5;0,5;0;22,5
422;D110106;TLA014347;1;135;D1;0;0;0;22,5
423;D110106;BKA012824;3;146;A;1;1;0;22,25
424;D110106;DCN004861;2;146;A;3,5;3,5;0;22,25
425;D110106;HDT013699;1;146;A;1,5;1,5;0;22,25
426;D110106;HHA014583;4;146;A;0,5;0,5;0;22,25
427;D110106;KHA001845;4;146;A;1;1;0;22,25
428;D110106;KQH003388;3;146;A;0,5;0,5;0;22,25
429;D110106;TLA012518;2;146;D1;0;0;0;22,25
430;D110106;TLA015288;3;146;A;0,5;0,5;0;22,25
431;D110106;TND001141;2;146;A;1,5;1,5;0;22,25
432;D110106;TND008442;4;146;A1;1,5;1,5;0;22,25
433;D110106;HDT013886;3;156;A;1,5;1,5;0;22
434;D110106;HHA015285;3;156;A1;0,5;0,5;0;22
435;D110106;HVN005720;3;156;A;1;1;0;22
436;D110106;LNH001931;3;156;A;1,5;1,5;0;22
437;D110106;NLS007656;3;156;D1;1,5;1,5;0;22
438;D110106;SPH005906;4;156;D1;0;0;0;22
439;D110106;SPH007214;3;156;A;0;0;0;22
440;D110106;THV000979;2;156;A;3,5;3,5;0;22
441;D110106;THV003361;2;156;A;0,5;0,5;0;22
442;D110106;TND021365;3;156;B;1,5;1,5;0;22
443;D110106;TQU003346;1;156;B;1,5;1,5;0;22
444;D110106;YTB000263;2;156;A;1;1;0;22
445;D110106;YTB017614;1;156;A;1;1;0;22
446;D110106;HDT016963;2;169;A;1;1;0;21,75
447;D110106;HDT025680;4;169;A;1,5;1,5;0;21,75
448;D110106;KHA001685;1;169;A;1;1;0;21,75
449;D110106;KHA004644;2;169;D1;1;1;0;21,75
450;D110106;KHA005577;1;169;A;1;1;0;21,75
451;D110106;KHA007215;1;169;D1;0;0;0;21,75
452;D110106;KHA011304;3;169;A;0;0;0;21,75
